Termo;Text;Label
Predation;"Predation is a biological interaction where one organism, the predator, kills and eats another organism, its prey. It is one of a family of common feeding behaviours that includes parasitism and micropredation and parasitoidism. It is distinct from scavenging on dead prey, though many predators also scavenge; it overlaps with herbivory, as seed predators and destructive frugivores are predators. Predators may actively search for or pursue prey or wait for it, often concealed. When prey is detected, the predator assesses whether to attack it. This may involve ambush or pursuit predation, sometimes after stalking the prey. If the attack is successful, the predator kills the prey, removes any inedible parts like the shell or spines, and eats it.";Human
Stem cell;In multicellular organisms, stem cells are undifferentiated or partially differentiated cells that can differentiate into various types of cells and proliferate indefinitely to produce more of the same stem cell. They are the earliest type of cell in a cell lineage. They are found in both embryonic and adult organisms, but they have slightly different properties in each. They are usually distinguished from progenitor cells, which cannot divide indefinitely, and precursor or blast cells, which are usually committed to differentiating into one cell type. In mammals, roughly 50–150 cells make up the inner cell mass during the blastocyst stage of embryonic development, around days 5–14. These have stem-cell capability.;Human
Neuroprotection;Neuroprotection refers to the relative preservation of neuronal structure and/or function. In the case of an ongoing insult the relative preservation of neuronal integrity implies a reduction in the rate of neuronal loss over time, which can be expressed as a differential equation. It is a widely explored treatment option for many central nervous system disorders including neurodegenerative diseases, stroke, traumatic brain injury, spinal cord injury, and acute management of neurotoxin consumption. Neuroprotection aims to prevent or slow disease progression and secondary injuries by halting or at least slowing the loss of neurons. Despite differences in symptoms or injuries associated with CNS disorders, many of the mechanisms behind neurodegeneration are the same.;Human
Bone marrow;Bone marrow is a semi-solid tissue found within the spongy or cancellous portions of bones. In birds and mammals, bone marrow is the primary site of new blood cell production or haematopoiesis. It is composed of hematopoietic cells, marrow adipose tissue, and supportive stromal cells. In adult humans, bone marrow is primarily located in the ribs, vertebrae, sternum, and bones of the pelvis. Bone marrow comprises approximately 5% of total body mass in healthy adult humans, such that a man weighing 73 kg will have around 3.65 kg of bone marrow. Human marrow produces approximately 500 billion blood cells per day, which join the systemic circulation via permeable vasculature sinusoids within the medullary cavity.;Human
Synaptic pruning;Synaptic pruning, a phase in the development of the nervous system, is the process of synapse elimination that occurs between early childhood and the onset of puberty in many mammals, including humans. Pruning starts near the time of birth and continues into the mid-20s. During pruning, both the axon and dendrite decay and die off. It was traditionally considered to be complete by the time of sexual maturation, but this was discounted by MRI studies. The infant brain will increase in size by a factor of up to 5 by adulthood, reaching a final size of approximately 86 billion neurons.;Human
Mucosa-associated lymphoid tissue;The mucosa-associated lymphoid tissue, also called mucosa-associated lymphatic tissue, is a diffuse system of small concentrations of lymphoid tissue found in various submucosal membrane sites of the body, such as the gastrointestinal tract, nasopharynx, thyroid, breast, lung, salivary glands, eye, and skin. MALT is populated by lymphocytes such as T cells and B cells, as well as plasma cells and macrophages, each of which is well situated to encounter antigens passing through the mucosal epithelium. In the case of intestinal MALT, M cells are also present, which sample antigen from the lumen and deliver it to the lymphoid tissue. MALT constitute about 50% of the lymphoid tissue in human body. The components of MALT are sometimes subdivided into the following:;Human
Volcanism;Volcanism is the phenomenon of eruption of molten rock onto the surface of the Earth or a solid-surface planet or moon, where lava, pyroclastics and volcanic gases erupt through a break in the surface called a vent. It includes all phenomena resulting from and causing magma within the crust or mantle of the body, to rise through the crust and form volcanic rocks on the surface. Magma from the mantle or lower crust rises through its crust towards the surface. If magma reaches the surface, its behavior depends on the viscosity of the molten constituent rock.;Human
Pentose phosphate pathway;"The pentose phosphate pathway is a metabolic pathway parallel to glycolysis. It generates NADPH and pentoses as well as ribose 5-phosphate, a precursor for the synthesis of nucleotides. While the pentose phosphate pathway does involve oxidation of glucose, its primary role is anabolic rather than catabolic. The pathway is especially important in red blood cells. There are two distinct phases in the pathway. The first is the oxidative phase, in which NADPH is generated, and the second is the non-oxidative synthesis of 5-carbon sugars. For most organisms, the pentose phosphate pathway takes place in the cytosol; in plants, most steps take place in plastids. Similar to glycolysis, the pentose phosphate pathway appears to have a very ancient evolutionary origin.";Human
Attenuated vaccine;"An attenuated vaccine is a vaccine created by reducing the virulence of a pathogen, but still keeping it viable. Attenuation takes an infectious agent and alters it so that it becomes harmless or less virulent. These vaccines contrast to those produced by ""killing"" the virus. Attenuated vaccines stimulate a strong and effective immune response that is long-lasting. In comparison to inactivated vaccines, attenuated vaccines produce a stronger and more durable immune response with a quick immunity onset. Attenuated vaccines function by encouraging the body to create antibodies and memory immune cells in response to the specific pathogen which the vaccine protects against. Common examples of live attenuated vaccines are measles, mumps, rubella, yellow fever, and some influenza vaccines.";Human
Carrying capacity;"The carrying capacity of an environment is the maximum population size of a biological species that can be sustained in that specific environment, given the food, habitat, water, and other resources available. In population ecology, carrying capacity is defined as the environment's maximal load, which is different from the concept of population equilibrium, which may be far below an environment's carrying capacity. The effect of carrying capacity on population dynamics may be modelled with a logistic function. The specific reason why a population stops growing is known as a limiting or regulating factor. The difference between the birth rate and the death rate is the ""natural increase"".";Human
Quantum dot;Quantum dots are semiconductor particles a few nanometres in size, having optical and electronic properties that differ from larger particles due to quantum mechanics. They are a central topic in nanotechnology. When the quantum dots are illuminated by UV light, an electron in the quantum dot can be excited to a state of higher energy. In the case of a semiconducting quantum dot, this process corresponds to the transition of an electron from the valence band to the conductance band. The excited electron can drop back into the valence band releasing its energy by the emission of light. This light emission is illustrated in the figure on the right.;Human
Lock and key;A lock is a mechanical or electronic fastening device that is released by a physical object, by supplying secret information, or by a combination thereof or only being able to be opened from one side such as a door chain. A key is a device that is used to operate a lock. A typical key is a small piece of metal consisting of two parts: the bit or blade, which slides into the keyway of the lock and distinguishes between different keys, and the bow, which is left protruding so that torque can be applied by the user.;Human
Extracellular matrix;"In biology, the extracellular matrix is a three-dimensional network of extracellular macromolecules, such as collagen, enzymes, and glycoproteins, that provide structural and biochemical support to surrounding cells. Because multicellularity evolved independently in different multicellular lineages, the composition of ECM varies between multicellular structures; however, cell adhesion, cell-to-cell communication and differentiation are common functions of the ECM. The animal extracellular matrix includes the interstitial matrix and the basement membrane. Interstitial matrix is present between various animal cells. Gels of polysaccharides and fibrous proteins fill the interstitial space and act as a compression buffer against the stress placed on the ECM. Basement membranes are sheet-like depositions of ECM on which various epithelial cells rest.";Human
Oceanography;"Oceanography, also known as oceanology, is the study of the physical and biological aspects of the ocean. It is an important Earth science, which covers a wide range of topics, including ecosystem dynamics; ocean currents, waves, and geophysical fluid dynamics; plate tectonics and the geology of the sea floor; and fluxes of various chemical substances and physical properties within the ocean and across its boundaries. These diverse topics reflect multiple disciplines that oceanographers blend to further knowledge of the world ocean and understanding of processes within: astronomy, biology, chemistry, climatology, geography, geology, hydrology, meteorology and physics. Paleoceanography studies the history of the oceans in the geologic past.";Human
Toughness;In materials science and metallurgy, toughness is the ability of a material to absorb energy and plastically deform without fracturing. One definition of material toughness is the amount of energy per unit volume that a material can absorb before rupturing. This measure of toughness is different from that used for fracture toughness, which describes load bearing capabilities of materials with flaws. It is also defined as a material's resistance to fracture when stressed. Toughness requires a balance of strength and ductility. Toughness is related to the area under the stress–strain curve. In order to be tough, a material must be both strong and ductile.;Human
Gamma-ray burst;"In gamma-ray astronomy, gamma-ray bursts are extremely energetic explosions that have been observed in distant galaxies. They are the brightest and most energetic electromagnetic events known to occur in the universe. Bursts can last from ten milliseconds to several hours. After an initial flash of gamma rays, a longer-lived ""afterglow"" is usually emitted at longer wavelengths. The intense radiation of most observed GRBs is thought to be released during a supernova or superluminous supernova as a high-mass star implodes to form a neutron star or a black hole. A subclass of GRBs appear to originate from the merger of binary neutron stars.";Human
Embedding;"In mathematics, an embedding is one instance of some mathematical structure contained within another instance, such as a group that is a subgroup. When some object X is said to be embedded in another object Y, the embedding is given by some injective and structure-preserving map f : X → Y. The precise meaning of ""structure-preserving"" depends on the kind of mathematical structure of which X and Y are instances. In the terminology of category theory, a structure-preserving map is called a morphism. The fact that a map f : X → Y is an embedding is often indicated by the use of a ""hooked arrow""; thus:";Human
Neuroinflammation;Neuroinflammation is inflammation of the nervous tissue. It may be initiated in response to a variety of cues, including infection, traumatic brain injury, toxic metabolites, or autoimmunity. In the central nervous system, including the brain and spinal cord, microglia are the resident innate immune cells that are activated in response to these cues. The CNS is typically an immunologically privileged site because peripheral immune cells are generally blocked by the blood–brain barrier, a specialized structure composed of astrocytes and endothelial cells. However, circulating peripheral immune cells may surpass a compromised BBB and encounter neurons and glial cells expressing major histocompatibility complex molecules, perpetuating the immune response.;Human
Cache coherence;In computer architecture, cache coherence is the uniformity of shared resource data that ends up stored in multiple local caches. When clients in a system maintain caches of a common memory resource, problems may arise with incoherent data, which is particularly the case with CPUs in a multiprocessing system. In the illustration on the right, consider both the clients have a cached copy of a particular memory block from a previous read. Suppose the client on the bottom updates/changes that memory block, the client on the top could be left with an invalid cache of memory without any notification of the change.;Human
